"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
308,"Lat: 52.360932, Lng: 1.357551","Long-established organic agroforestry with willow (for coppicing), fruit trees, timber trees, hazel, grapevines, and a mixture of commercial and experimental use. Recent addition of sheep to the site.","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.360932,1.357551
309,"Lat: 52.2438, Lng: 1.4771","Commercial site, with hens and arable cropping in fields planted with Agroforestry. Also fruit and nut orchards. Organically-grown vegetables produced.","low soil fertility","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.2438,1.4771
310,"Lat: 51.320229, Lng: 3.285357","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.320229,3.285357
311,"Lat: 50.97835, Lng: 2.871601","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity","","Agroforestry Map of Europe - DigitAF",50.97835,2.871601
312,"Lat: 50.989259, Lng: 3.111174","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","","","Agroforestry Map of Europe - DigitAF",50.989259,3.111174
313,"Lat: 51.050992, Lng: 3.414506","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.050992,3.414506
314,"Lat: 51.109973, Lng: 3.626055","","low soil fertility","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.109973,3.626055
315,"Lat: 50.944857, Lng: 3.487225","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.944857,3.487225
316,"Lat: 50.870285, Lng: 3.552532","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.870285,3.552532
317,"Lat: 50.967172, Lng: 3.797889","","drought / low water holding capacity","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.967172,3.797889
318,"Lat: 51.396375, Lng: 4.892811","","drought / low water holding capacity
low soil fertility","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity","","Agroforestry Map of Europe - DigitAF",51.396375,4.892811
319,"Lat: 51.108244, Lng: 4.61636","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",51.108244,4.61636
320,"Lat: 50.965933, Lng: 4.925849","","","(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.965933,4.925849
321,"Lat: 50.871334, Lng: 4.575942","","","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.871334,4.575942
322,"Lat: 50.711077, Lng: 4.060108","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.711077,4.060108
323,"Lat: 50.721423, Lng: 5.187797","","","","","","","Agroforestry Map of Europe - DigitAF",50.721423,5.187797
324,"Lat: 43.516179, Lng: 10.6218374","","","","","","","Agroforestry Map of Europe - DigitAF",43.516179,10.6218374
325,"Lat: 42.9389844, Lng: 11.2836863","","","(Intended) use of trees:
production biofuel wood","","","","Agroforestry Map of Europe - DigitAF",42.9389844,11.2836863
326,"Lat: 42.7723125, Lng: 12.8579375","","","","","","","Agroforestry Map of Europe - DigitAF",42.7723125,12.8579375
327,"Lat: 42.7829375, Lng: 12.1678125","","","","","","","Agroforestry Map of Europe - DigitAF",42.7829375,12.1678125
328,"Lat: 42.7583125, Lng: 12.1738125","","","","","","","Agroforestry Map of Europe - DigitAF",42.7583125,12.1738125
329,"Lat: 54.28249675, Lng: 10.514264614653849","","","(Intended) use of trees:
production biofuel wood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
production biofuel wood
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",54.28249675,10.5142646146538
330,"Lat: 53.204194, Lng: 12.909001","","drought / low water holding capacity
low soil fertility
susceptibility to erosion
species-poor site","(Intended) use of trees:
production biofuel wood
other material use

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",53.204194,12.909001
331,"Lat: 52.7529262, Lng: 11.3207406","","drought / low water holding capacity","(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.7529262,11.3207406
332,"Lat: 53.20675, Lng: 10.36601","","","(Intended) use of trees:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Erosion protection
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",53.20675,10.36601
333,"Lat: 52.874045, Lng: 9.066548","","low soil fertility","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)

Other agroforestry products: evtl. Waldgarten","","","","Agroforestry Map of Europe - DigitAF",52.874045,9.066548
334,"Lat: 52.2167884, Lng: 7.7941642","","","(Intended) use of trees:
production biofuel wood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.2167884,7.7941642
